Column1,Year,Name,TeamAbbr,Team,Position,VetStatus,Salary,SalaryPerc,Rank,PlayerCode,Age,League,Wins,Losses,Win_Loss,ERA,Games,GamesStart,GamesFinished,CompleteGame,ShutOut,Saves,InningsPitched,Hits_Allowed,Runs_Allowed,EarnedRuns_Allowed,HomeRuns_Allowed,BasesWalk,IntentWalk,StrikeOuts,HitByPitch,Balks,WildPitches,BattersFaced,ERAp,FieldIndPitch,Walks/HitsPerInn,H9,HR9,BB9,SO9,SO_W,VetInd,VetSO,VetWalk,VetInnP,EraWalk,VetAge,WalkAge,EraAge
5001,2018,TylerGlasnow,TBR,tampa-bay-rays,RP,Pre-Arb,181660,0.26,339,glasnty01,7,AL,1,5,0.167,4.2,11,11,0,0,0,0,55.2,42,27,26,10,19,1,64,3,1,5,225,99,4.38,1.096,6.8,1.6,3.1,10.3,3.37,0,0,0,0,79.8,0,133,29.4
2916,2015,BrandonFinnegan,CIN,cincinnati-reds,SP,Pre-Arb,183032,0.16,257,finnebr01,5,NL,2,2,0.5,4.18,6,4,0,0,0,0,23.2,21,11,11,5,8,0,24,0,0,0,98,96,4.87,1.225,8,1.9,3,9.1,3,0,0,0,0,33.44,0,40,20.9
2816,2014,TsuyoshiWada,CHC,chicago-cubs,SP,Pre-Arb,183060,0.2,757,wadats01,16,NL,4,4,0.5,3.25,13,13,0,0,0,0,69.1,67,28,25,7,19,1,57,3,0,0,289,117,3.75,1.24,8.7,0.9,2.5,7.4,3,0,0,0,0,61.75,0,304,52
3576,2016,FelipeVazquez,PIT,pittsburgh-pirates,RP/CL,Pre-Arb,183314,0.18,843,riverfe01,7,NL,1,3,0.25,3.29,28,0,3,0,0,0,27.1,23,13,10,3,18,1,39,1,0,2,124,127,3.8,1.5,7.6,1,5.9,12.8,2.17,0,0,0,0,59.22,0,126,23.03
273,2009,RichThompson,LAA,los-angeles-angels,RP,Pre-Arb,183606,0.18,701,thompri03,7,AL,0,0,NA,5.12,13,0,2,0,0,0,19.1,27,11,11,6,7,0,21,1,0,5,92,87,6.2,1.759,12.6,2.8,3.3,9.8,3,0,0,0,0,35.84,0,49,35.84
1975,2013,EvanScribner,OAK,oakland-athletics,RP,Pre-Arb,183934,0.27,651,scribev01,10,AL,0,0,NA,4.39,18,0,12,0,0,0,26.2,26,13,13,3,7,0,19,0,0,2,114,90,3.87,1.238,8.8,1,2.4,6.4,2.71,0,0,0,0,30.73,0,70,43.9
3899,2016,TylerCravy,MIL,milwaukee-brewers,RP,Pre-Arb,184140,0.3,170,cravyty01,9,NL,0,1,0,2.86,20,2,4,0,0,0,28.1,21,9,9,3,12,1,22,1,0,0,116,151,4.35,1.165,6.7,1,3.8,7,1.83,0,0,0,0,34.32,0,108,25.74
3975,2017,ArielHernandez,CIN,cincinnati-reds,RP,Pre-Arb,184149,0.19,369,hernaar01,8,NL,0,0,NA,5.18,19,0,5,0,0,0,24.1,14,14,14,6,22,1,29,0,0,2,108,88,6.69,1.479,5.2,2.2,8.1,10.7,1.32,0,0,0,0,113.96,0,176,41.44
4593,2018,ColtenBrewer,SDP,san-diego-padres,RP,Pre-Arb,184590,0.18,105,breweco01,8,NL,1,0,1,5.59,11,0,5,0,0,0,9.2,15,10,6,0,7,0,10,0,0,1,49,71,3.26,2.276,14,0,6.5,9.3,1.43,0,0,0,0,39.13,0,56,44.72
1998,2013,GuillermoMoscoso,SFG,san-francisco-giants,SP,Pre-Arb,184616,0.13,492,moscogu01,12,NL,2,2,0.5,5.1,13,2,0,0,0,0,30,20,17,17,5,21,3,31,3,0,5,128,68,5.55,1.367,6,1.5,6.3,9.3,1.48,0,0,0,0,107.1,0,252,61.2
3437,2016,AustinAdams,CLE,cleveland-indians,RP,Pre-Arb,185791,0.18,5,adamsau01,12,AL,0,0,NA,9.82,19,0,11,0,0,0,18.1,27,22,20,5,7,1,17,0,0,0,88,47,5.98,1.855,13.3,2.5,3.4,8.3,2.43,0,0,0,0,68.74,0,84,117.84
2896,2015,ArnoldLeon,OAK,oakland-athletics,RP,Pre-Arb,185806,0.23,465,leonar01,9,AL,0,2,0,4.39,19,0,9,0,0,0,26.2,30,14,13,3,9,3,19,0,0,0,115,90,4.18,1.463,10.1,1,3,6.4,2.11,0,0,0,0,39.51,0,81,39.51
3174,2015,KeyviusSampson,CIN,cincinnati-reds,RP,Pre-Arb,185806,0.17,739,sampske01,7,NL,2,6,0.25,6.54,13,12,0,0,0,0,52.1,67,43,38,7,26,0,42,0,0,4,251,61,4.76,1.777,11.5,1.2,4.5,7.2,1.62,0,0,0,0,170.04,0,182,45.78
3220,2015,MattMarksberry,ATL,atlanta-braves,RP,Pre-Arb,185806,0.17,501,marksma01,7,NL,0,3,0,5.01,31,0,4,0,0,0,23.1,22,16,13,2,16,2,21,1,0,3,108,78,4.63,1.629,8.5,0.8,6.2,8.1,1.31,0,0,0,0,80.16,0,112,35.07
3326,2015,SpencerPatton,TEX,texas-rangers,RP,Pre-Arb,186172,0.12,622,pattosp01,10,AL,1,1,0.5,9,27,0,6,0,0,0,24,24,24,24,5,12,0,28,4,0,1,109,48,5.51,1.5,9,1.9,4.5,10.5,2.33,0,0,0,0,108,0,120,90
2698,2014,MichaelTonkin,MIN,minnesota-twins,RP,Pre-Arb,186721,0.21,729,tonkimi01,7,AL,0,0,NA,4.74,25,0,8,0,0,0,19,23,13,10,2,6,0,16,2,0,1,87,84,4.08,1.526,10.9,0.9,2.8,7.6,2.67,0,0,0,0,28.44,0,42,33.18
4160,2017,JaimeGarcia,NYY,new-york-yankees,SP,Vet,187072,0.09,277,garcija02,13,AL,0,3,0,4.82,8,8,0,0,0,0,37.1,41,25,20,6,20,1,37,0,0,3,170,94,4.87,1.634,9.9,1.4,4.8,8.9,1.85,1,37,20,37.1,96.4,13,260,62.66
4368,2017,RookieDavis,CIN,cincinnati-reds,SP,Pre-Arb,187072,0.19,184,davisro03,7,NL,1,3,0.25,8.63,7,6,0,0,0,0,24,38,25,23,7,14,0,20,1,0,3,123,53,7.16,2.167,14.3,2.6,5.3,7.5,1.43,0,0,0,0,120.82,0,98,60.41
2759,2014,RyanPressly,MIN,minnesota-twins,RP,Pre-Arb,187270,0.21,578,pressry01,8,AL,2,0,1,2.86,25,0,5,0,0,0,28.1,30,10,9,3,8,2,14,1,0,1,122,138,4.47,1.341,9.5,1,2.5,4.4,1.75,0,0,0,0,22.88,0,64,22.88
2033,2013,JarredCosart,HOU,houston-astros,RP,Pre-Arb,187431,0.53,157,cosarja01,6,AL,1,1,0.5,1.95,10,10,0,0,0,0,60,46,15,13,3,35,0,33,0,0,3,246,208,4.35,1.35,6.9,0.5,5.3,5,0.94,0,0,0,0,68.25,0,210,11.7
2302,2013,TylerLyons,STL,st.-louis-cardinals,RP,Pre-Arb,187431,0.16,431,lyonsty01,8,NL,2,4,0.333,4.75,12,8,1,0,0,0,53,49,29,28,5,16,0,43,3,0,0,223,79,3.73,1.226,8.3,0.8,2.7,7.3,2.69,0,0,0,0,76,0,128,38
3007,2015,DavidBuchanan,PHI,philadelphia-phillies,SP,Pre-Arb,187636,0.13,93,buchada01,9,NL,2,9,0.182,6.99,15,15,0,0,0,0,74.2,109,60,58,12,29,1,44,3,0,2,351,55,5.33,1.848,13.1,1.4,3.5,5.3,1.52,0,0,0,0,202.71,0,261,62.91
3175,2015,KirbyYates,TBR,tampa-bay-rays,RP,Pre-Arb,187746,0.26,879,yateski01,11,AL,1,0,1,7.97,20,0,10,0,0,0,20.1,23,18,18,10,7,0,21,1,0,0,92,50,8.64,1.475,10.2,4.4,3.1,9.3,3,0,0,0,0,55.79,0,77,87.67
2336,2014,AaronSanchez,TOR,toronto-blue-jays,SP,Pre-Arb,188524,0.13,650,sanchaa01,4,AL,2,2,0.5,1.09,24,0,6,0,0,3,33,14,5,4,1,9,0,27,1,0,1,121,351,2.8,0.697,3.8,0.3,2.5,7.4,3,0,0,0,0,9.81,0,36,4.36
2648,2014,KyleHendricks,CHC,chicago-cubs,SP,Pre-Arb,188524,0.21,311,hendrky01,7,NL,7,2,0.778,2.46,13,13,0,0,0,0,80.1,72,24,22,4,15,2,47,4,0,0,321,154,3.32,1.083,8.1,0.4,1.7,5.3,3.13,0,0,0,0,36.9,0,105,17.22
2840,2014,YohanFlande,COL,colorado-rockies,SP,Pre-Arb,188524,0.2,226,flandyo01,11,NL,0,6,0,5.19,16,10,2,0,0,0,59,55,34,34,5,16,2,34,2,0,0,241,82,4,1.203,8.4,0.8,2.4,5.2,2.13,0,0,0,0,83.04,0,176,57.09
3622,2016,JaredHoying,TEX,texas-rangers,RF,Pre-Arb,188564,0.12,371,hoyinja01,10,AL,0,0,NA,9,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,4,68,16.15,1,9,9,0,0,NA,0,0,0,0,0,0,0,90
3845,2016,RyanWeber,ATL,atlanta-braves,RP,Pre-Arb,188564,0.2,870,weberry01,8,NL,1,1,0.5,5.45,16,2,6,0,0,0,36.1,46,22,22,7,5,2,23,2,0,1,157,77,4.96,1.404,11.4,1.7,1.2,5.7,4.6,0,0,0,0,27.25,0,40,43.6
1903,2013,ChrisRusin,CHC,chicago-cubs,RP,Pre-Arb,190109,0.19,627,rusinch01,9,NL,2,6,0.25,3.93,13,13,0,0,0,0,66.1,66,30,29,8,24,3,36,3,0,1,282,98,4.75,1.357,9,1.1,3.3,4.9,1.5,0,0,0,0,94.32,0,216,35.37
2879,2015,AlexWood,LAD,los-angeles-dodgers,SP,Pre-Arb,190382,0.06,870,woodal02,7,NL,5,6,0.455,4.35,12,12,0,0,0,0,70.1,66,36,34,7,23,2,49,2,1,1,292,85,4.1,1.265,8.4,0.9,2.9,6.3,2.13,0,0,0,0,100.05,0,161,30.45
2116,2013,JustinGrimm,CHC,chicago-cubs,RP,Pre-Arb,190497,0.19,280,grimmju01,7,NL,0,2,0,2,10,0,3,0,0,0,9,4,3,2,0,3,0,8,1,0,0,36,201,2.6,0.778,4,0,3,8,2.67,0,0,0,0,6,0,21,14
2989,2015,CoryRasmus,LAA,los-angeles-angels,RP,Pre-Arb,190622,0.13,669,rasmuco02,10,AL,0,0,NA,5.23,16,1,5,0,0,0,20.2,15,12,12,3,11,2,27,1,0,0,88,74,4.15,1.258,6.5,1.3,4.8,11.8,2.45,0,0,0,0,57.53,0,110,52.3
2853,2015,AaronBrooks,OAK,oakland-athletics,SP,Pre-Arb,191352,0.24,87,brookaa01,8,AL,3,4,0.429,6.71,11,9,1,0,0,0,51,67,38,38,9,14,0,35,4,0,0,232,58,5.11,1.588,11.8,1.6,2.5,6.2,2.5,0,0,0,0,93.94,0,112,53.68
2859,2015,AdamConley,MIA,miami-marlins,SP,Pre-Arb,191352,0.3,159,conlead01,8,NL,4,1,0.8,3.76,15,11,1,0,0,0,67,65,28,28,7,21,1,59,3,0,0,281,101,3.81,1.284,8.7,0.9,2.8,7.9,2.81,0,0,0,0,78.96,0,168,30.08
2955,2015,ChiChiGonzalez,TEX,texas-rangers,SP,Pre-Arb,191352,0.13,301,gonzach01,6,AL,4,6,0.4,3.9,14,10,1,1,1,0,67,49,33,29,6,32,1,30,3,1,2,280,109,4.97,1.209,6.6,0.8,4.3,4,0.94,0,0,0,0,124.8,0,192,23.4
4092,2017,DillonGee,MIN,minnesota-twins,RP,Arb 3,192918,0.16,294,geedi01,14,AL,3,2,0.6,3.22,14,3,2,0,0,1,36.1,37,14,13,4,9,0,31,2,0,0,151,139,3.79,1.266,9.2,1,2.2,7.7,3.44,0,0,0,0,28.98,0,126,45.08
4118,2017,EricSkoglund,KCR,kansas-city-royals,SP,Pre-Arb,192918,0.13,773,skogler01,7,AL,1,2,0.333,9.5,7,5,1,0,0,0,18,30,20,19,2,12,0,14,0,0,0,93,48,5.05,2.333,15,1,6,7,1.17,0,0,0,0,114,0,84,66.5
4378,2017,RyneStanek,TBR,tampa-bay-rays,RP,Pre-Arb,192918,0.25,791,stanery01,8,AL,0,0,NA,5.85,21,0,4,0,0,0,20,26,13,13,6,12,2,29,0,0,4,95,73,5.96,1.9,11.7,2.7,5.4,13.1,2.42,0,0,0,0,70.2,0,96,46.8
4509,2018,ArielJurado,TEX,texas-rangers,SP,Pre-Arb,193380,0.14,471,juradar01,5,AL,5,5,0.5,5.93,12,8,0,0,0,0,54.2,66,36,36,7,18,1,22,0,0,0,241,80,5.01,1.537,10.9,1.2,3,3.6,1.22,0,0,0,0,106.74,0,90,29.65
4535,2018,BrandonMann,TEX,texas-rangers,RP,Pre-Arb,193380,0.14,564,mannbr01,17,AL,0,0,NA,5.4,7,0,4,0,0,0,8.1,7,5,5,1,4,0,3,2,0,1,36,91,6.16,1.32,7.6,1.1,4.3,3.2,0.75,0,0,0,0,21.6,0,68,91.8
4603,2018,DakotaHudson,STL,st.-louis-cardinals,RP,Pre-Arb,193380,0.12,443,hudsoda02,6,NL,4,1,0.8,2.63,26,0,2,0,0,0,27.1,19,9,8,0,18,0,19,1,0,2,118,149,3.86,1.354,6.3,0,5.9,6.3,1.06,0,0,0,0,47.34,0,108,15.78
4762,2018,JonnyVenters,ATL,atlanta-braves,RP,Arb 2,193380,0.15,928,ventejo01,16,NL,4,1,0.8,3.54,28,0,4,0,0,2,20.1,15,9,8,0,10,2,16,1,0,3,87,116,3.21,1.23,6.6,0,4.4,7.1,1.6,0,0,0,0,35.4,0,160,56.64
4886,2018,PatVenditte,LAD,los-angeles-dodgers,RP,Pre-Arb,193380,0.1,925,vendipa01,16,NL,0,0,NA,2.57,15,0,6,0,0,0,14,11,4,4,1,3,1,9,2,0,0,57,156,3.88,1,7.1,0.6,1.9,5.8,3,0,0,0,0,7.71,0,48,41.12
4913,2018,RomanQuinn,PHI,philadelphia-phillies,CF,Pre-Arb,193380,0.19,715,quinnro01,8,NL,0,0,NA,37.8,1,0,0,0,0,0,1.2,6,7,7,1,2,0,0,1,0,1,14,14,16.36,4.8,32.4,5.4,10.8,0,0,0,0,0,0,75.6,0,16,302.4
4920,2018,RyanCook,SEA,seattle-mariners,RP,Arb 3,193380,0.12,180,cookry01,14,AL,2,1,0.667,5.29,19,0,5,0,0,0,17,15,10,10,4,7,1,23,3,0,2,76,78,5.28,1.294,7.9,2.1,3.7,12.2,3.29,0,0,0,0,37.03,0,98,74.06
3193,2015,LuisAvilan,LAD,los-angeles-dodgers,RP,Pre-Arb,194043,0.06,32,avilalu01,8,NL,0,1,0,5.17,23,0,2,0,0,0,15.2,13,9,9,2,5,0,18,1,0,1,66,73,3.64,1.149,7.5,1.1,2.9,10.3,3.6,0,0,0,0,25.85,0,40,41.36
3406,2016,AJAchter,LAA,los-angeles-angels,RP,Pre-Arb,194110,0.11,4,achteaj01,10,AL,1,0,1,3.11,27,0,17,0,0,0,37.2,43,13,13,7,12,1,14,1,0,0,160,130,5.85,1.46,10.3,1.7,2.9,3.3,1.17,0,0,0,0,37.32,0,120,31.1
3453,2016,BradenShipley,ARI,arizona-diamondbacks,SP,Pre-Arb,194110,0.2,763,shiplbr01,7,NL,4,5,0.444,5.27,13,11,0,0,0,0,70,80,43,41,14,28,1,43,1,0,1,306,85,5.76,1.543,10.3,1.8,3.6,5.5,1.54,0,0,0,0,147.56,0,196,36.89
3644,2016,JeromeWilliams,STL,st.-louis-cardinals,RP,Vet,194110,0.13,879,willije01,17,NL,0,0,NA,5.71,11,0,9,0,0,0,17.1,22,15,11,4,6,1,8,2,0,0,81,72,6.61,1.615,11.4,2.1,3.1,4.2,1.33,1,8,6,17.1,34.26,17,102,97.07
3841,2016,RyanORourke,MIN,minnesota-twins,RP,Pre-Arb,194110,0.2,595,orourry01,11,AL,0,1,0,3.96,26,0,6,0,0,0,25,18,13,11,3,10,0,24,1,1,2,101,108,4.11,1.12,6.5,1.1,3.6,8.6,2.4,0,0,0,0,39.6,0,110,43.56
2575,2014,JeremyJeffress,MIL,milwaukee-brewers,RP,Pre-Arb,194163,0.18,352,jeffrje01,9,NL,1,1,0.5,1.88,29,0,9,0,0,0,28.2,27,6,6,1,7,2,25,0,0,1,114,203,2.57,1.186,8.5,0.3,2.2,7.8,3.57,0,0,0,0,13.16,0,63,16.92
2505,2014,FelixDoubront,CHC,chicago-cubs,SP,Pre-Arb,195333,0.22,185,doubrfe01,9,NL,2,1,0.667,3.98,4,4,0,0,0,0,20.1,22,9,9,2,7,0,8,0,1,1,87,97,4.66,1.426,9.7,0.9,3.1,3.5,1.14,0,0,0,0,27.86,0,63,35.82
1875,2013,CarlosMartinez,STL,st.-louis-cardinals,SP,Pre-Arb,195464,0.16,448,martica04,4,NL,2,1,0.667,5.08,21,1,5,0,0,1,28.1,31,16,16,1,9,1,24,3,0,0,124,75,3.08,1.412,9.8,0.3,2.9,7.6,2.67,0,0,0,0,45.72,0,36,20.32
3934,2017,AaronBummer,CHW,chicago-white-sox,RP,Pre-Arb,195841,0.23,109,bummeaa01,6,AL,1,3,0.25,4.5,30,0,3,0,0,0,22,13,11,11,4,15,1,17,1,0,1,91,97,6.16,1.273,5.3,1.6,6.1,7,1.13,0,0,0,0,67.5,0,90,27
