,Year,Name,Tm,Team,Position,VetStatus,Salary,SalaryPerc,Rk,Code,Age,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
45,2009,AsdrubalCabrera,CLE,cleveland-indians,2B,Pre-Arb,416700,0.5,195,cabreas01,23,AL,131,581,523,81,161,42,4,6,68,17,4,44,89,0.308,0.361,0.438,0.799,114,229,13,1,10,3,1
46,2009,AubreyHuff,BAL,baltimore-orioles,1B,Vet,8000000,14.19,607,huffau01,32,AL,110,480,430,51,109,24,1,13,72,0,6,41,74,0.253,0.321,0.405,0.725,89,174,12,4,0,5,7
47,2009,BarryZito,SFG,san-francisco-giants,SP,Vet,18500000,30.38,1364,zitoba01,31,NL,33,67,51,2,6,0,0,0,0,0,0,4,16,0.118,0.182,0.118,0.299,-19,6,1,0,12,0,0
48,2009,BenFrancisco,PHI,philadelphia-phillies,LF,Pre-Arb,154283,0.15,402,francbe01,27,NL,37,104,97,10,27,9,0,5,13,1,4,5,24,0.278,0.317,0.526,0.843,117,51,1,1,0,1,0
49,2009,BenZobrist,TBR,tampa-bay-rays,2B,Vet,425900,1.07,1365,zobribe01,28,AL,152,599,501,91,149,28,7,27,91,17,6,91,104,0.297,0.405,0.543,0.948,149,272,7,2,1,4,4
50,2009,BillHall,SEA,seattle-mariners,3B,Vet,6925000,7.88,523,hallbi03,29,AL,34,131,120,10,24,8,1,2,12,1,2,8,48,0.2,0.244,0.333,0.578,54,40,1,0,0,3,0
51,2009,BillyButler,KCR,kansas-city-royals,DH,Pre-Arb,421000,0.93,190,butlebi03,23,AL,159,672,608,78,183,51,1,21,93,1,0,58,103,0.301,0.362,0.492,0.853,125,299,20,2,0,4,3
52,2009,BlaineBoyer,ARI,arizona-diamondbacks,RP,Pre-Arb,432500,0.62,149,boyerbl01,27,NL,29,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
53,2009,BlakeDeWitt,LAD,los-angeles-dodgers,2B,Pre-Arb,405000,0.4,327,dewitbl01,23,NL,31,53,49,4,10,3,0,2,4,0,0,3,7,0.204,0.245,0.388,0.633,68,19,2,0,0,1,0
54,2009,BlakeHawksworth,STL,st.-louis-cardinals,RP,Pre-Arb,400000,0.57,551,hawksbl01,26,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
55,2009,BobbyAbreu,LAA,los-angeles-angels,LF,Vet,5000000,4.81,2,abreubo01,35,AL,152,667,563,96,165,29,3,15,103,30,8,94,113,0.293,0.39,0.435,0.825,118,245,15,1,0,9,7
56,2009,BobbyJenks,CHW,chicago-white-sox,RP,Arb 1,5600000,6.16,633,jenksbo01,28,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
57,2009,BobbyParnell,NYM,new-york-mets,RP,Pre-Arb,400000,0.37,935,parnebo01,24,NL,65,12,8,1,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,-33,1,0,0,4,0,0
58,2009,BobbyScales,CHC,chicago-cubs,3B,Pre-Arb,400000,0.34,1128,scalebo01,31,NL,51,138,124,15,30,8,2,3,15,0,0,11,32,0.242,0.312,0.411,0.723,84,51,5,2,0,1,1
59,2009,BobbyWilson,LAA,los-angeles-angels,C,Pre-Arb,400000,0.39,1323,wilsobo02,26,AL,12,6,5,0,1,1,0,0,0,0,0,0,1,0.2,0.2,0.4,0.6,53,2,1,0,1,0,0
60,2009,BooneLogan,ATL,atlanta-braves,RP,Pre-Arb,427500,0.52,731,loganbo02,24,NL,20,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
61,2009,BradBergesen,BAL,baltimore-orioles,RP,Pre-Arb,400000,0.71,110,bergebr02,23,AL,2,7,5,1,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,1,0,0,2,0,0
62,2009,BradHawpe,COL,colorado-rockies,RF,Vet,5500000,8.12,552,hawpebr01,30,NL,145,588,501,82,143,42,3,23,86,1,3,79,145,0.285,0.384,0.519,0.903,125,260,17,4,0,4,7
63,2009,BradLidge,PHI,philadelphia-phillies,RP,Vet,12000000,11.7,721,lidgebr01,32,NL,63,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
64,2009,BradPenny,BOS,boston-red-sox,SP,Vet,5000000,4.45,965,pennybr01,31,AL,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
65,2009,BradZiegler,OAK,oakland-athletics,RP,Pre-Arb,405000,0.66,1361,zieglbr01,29,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
66,2009,BrandonAllen,ARI,arizona-diamondbacks,LF,Pre-Arb,198907,0.29,15,allenbr01,23,NL,32,116,104,13,21,7,0,4,14,0,0,12,40,0.202,0.284,0.385,0.669,72,40,4,0,0,0,2
67,2009,BrandonInge,DET,detroit-tigers,3B,Vet,6300000,5.83,617,ingebr01,32,AL,161,637,562,71,129,16,1,27,84,2,5,54,170,0.23,0.314,0.406,0.72,87,228,12,17,1,3,1
68,2009,BrandonLeague,TOR,toronto-blue-jays,RP,Arb 1,640000,0.92,708,leagubr01,26,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
69,2009,BrandonLyon,DET,detroit-tigers,RP,Vet,4250000,3.93,753,lyonbr01,29,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
